Datetime,open_price,high_price,low_price,close_price,volume,Dividends,Stock Splits,SMA_20,SMA_50,SMA_200,RSI,MACD,Signal_Line
2025-02-20 18:45:00+00:00,1.0500892400741577,1.0500892400741577,1.0500892400741577,1.0500892400741577,0,0.0,0.0,,,,,0.0,0.0
2025-02-20 18:46:00+00:00,1.0499789714813232,1.0499789714813232,1.0499789714813232,1.0499789714813232,0,0.0,0.0,,,,,-8.79635498396425e-06,-1.75927099679285e-06
2025-02-20 18:47:00+00:00,1.0500892400741577,1.0500892400741577,1.0500892400741577,1.0500892400741577,0,0.0,0.0,,,,,-6.791487751289793e-06,-2.7657143476922386e-06
2025-02-20 18:48:00+00:00,1.0500892400741577,1.0500892400741577,1.0500892400741577,1.0500892400741577,0,0.0,0.0,,,,,-5.143326953449545e-06,-3.2412368688436998e-06
2025-02-20 18:49:00+00:00,1.0500892400741577,1.0500892400741577,1.0500892400741577,1.0500892400741577,0,0.0,0.0,,,,,-3.7934194683231226e-06,-3.3516733887395843e-06
2025-02-20 18:50:00+00:00,1.0499789714813232,1.0499789714813232,1.0499789714813232,1.0499789714813232,0,0.0,0.0,,,,,-1.1488924776426046e-05,-4.979123666276878e-06
2025-02-20 18:51:00+00:00,1.0499789714813232,1.0499789714813232,1.0499789714813232,1.0499789714813232,0,0.0,0.0,,,,,-1.7387238909316594e-05,-7.460746714884822e-06
2025-02-20 18:52:00+00:00,1.0499789714813232,1.0499789714813232,1.0499789714813232,1.0499789714813232,0,0.0,0.0,,,,,-2.1810280023126793e-05,-1.0330653376533217e-05
2025-02-20 18:53:00+00:00,1.0498688220977783,1.0498688220977783,1.0498688220977783,1.0498688220977783,0,0.0,0.0,,,,,-3.3813920836234246e-05,-1.5027306868473422e-05
2025-02-20 18:54:00+00:00,1.0498688220977783,1.0498688220977783,1.0498688220977783,1.0498688220977783,0,0.0,0.0,,,,,-4.2833138899522893e-05,-2.058847327468332e-05
